y,s,fB
-1.0094,-1,4
-0.9767,-1,9
-0.9433,-1,
-0.909,-1,
-0.874,-1,
-0.8383,-1,
-0.8019,-1,
-0.7648,-1,
-0.7271,-1,
-0.6888,-1,
-0.6499,-1,
-0.6105,-1,
-0.5706,-1,
-0.5303,-1,
-0.4896,-1,
-0.4484,-1,
-0.407,-1,
-0.3652,-1,
-0.3232,-1,
-0.281,-1,
-0.2386,-1,
-0.196,-1,
-0.1534,-1,
-0.1107,-1,
-0.068,-1,
-0.0252,-1,
0.0174,1,
0.06,1,
0.1024,1,
0.1446,1,
0.1867,1,
0.2285,1,
0.2699,1,
0.3111,1,
0.3518,1,
0.3922,1,
0.4321,1,
0.4715,1,
0.5105,1,
0.5488,1,
0.5865,1,
0.6237,1,
0.6601,1,
0.6959,1,
0.7309,1,
0.7652,1,
0.7986,1,
0.8312,1,
0.863,1,
0.8939,1,
0.9238,1,
0.9528,1,
0.9809,1,
1.0079,1,
1.0339,1,
1.0588,1,
1.0827,1,
1.1055,1,
1.1271,1,
1.1477,1,
1.167,1,
1.1852,1,
1.2022,1,
1.2179,1,
1.2325,1,
1.2458,1,
1.2578,1,
1.2686,1,
1.2781,1,
1.2863,1,
1.2933,1,
1.2989,1,
1.3032,1,
1.3062,1,
1.3079,1,
1.3083,1,
1.3074,1,
1.3051,1,
1.3016,1,
1.2967,1,
1.2905,1,
1.283,1,
1.2743,1,
1.2642,1,
1.2528,1,
1.2402,1,
1.2264,1,
1.2112,1,
1.1949,1,
1.1773,1,
1.1586,1,
1.1386,1,
1.1175,1,
1.0952,1,
1.0718,1,
1.0473,1,
1.0218,1,
0.9951,1,
0.9674,1,
0.9387,1,
0.9091,1,
0.8784,1,
0.8469,1,
0.8144,1,
0.7811,1,
0.7469,1,
0.7119,1,
0.6761,1,
0.6396,1,
0.6024,1,
0.5644,1,
0.5259,1,
0.4867,1,
0.447,1,
0.4067,1,
0.3659,1,
0.3246,1,
0.2829,1,
0.2409,1,
0.1984,1,
0.1557,1,
0.1127,1,
0.0694,1,
0.0259,1,
-0.0177,-1,
-0.0614,-1,
-0.1053,-1,
-0.1491,-1,
-0.193,-1,
-0.2368,-1,
-0.2806,-1,
-0.3242,-1,
-0.3677,-1,
-0.411,-1,
-0.454,-1,
-0.4968,-1,
-0.5393,-1,
-0.5814,-1,
-0.6232,-1,
-0.6645,-1,
-0.7053,-1,
-0.7457,-1,
-0.7856,-1,
-0.8248,-1,
-0.8635,-1,
-0.9015,-1,
-0.9389,-1,
-0.9756,-1,
-1.0115,-1,
-1.0467,-1,
-1.081,-1,
-1.1146,-1,
-1.1473,-1,
-1.1791,-1,
-1.21,-1,
-1.2399,-1,
-1.2689,-1,
-1.2969,-1,
-1.3239,-1,
-1.3499,-1,
-1.3747,-1,
-1.3985,-1,
-1.4213,-1,
-1.4428,-1,
-1.4633,-1,
-1.4826,-1,
-1.5007,-1,
-1.5176,-1,
-1.5333,-1,
-1.5479,-1,
-1.5611,-1,
-1.5732,-1,
-1.584,-1,
-1.5935,-1,
-1.6018,-1,
-1.6088,-1,
-1.6146,-1,
-1.619,-1,
-1.6222,-1,
-1.6241,-1,
-1.6247,-1,
-1.624,-1,
-1.622,-1,
-1.6188,-1,
-1.6143,-1,
-1.6085,-1,
-1.6014,-1,
-1.5931,-1,
-1.5835,-1,
-1.5727,-1,
-1.5607,-1,
-1.5474,-1,
-1.5329,-1,
-1.5172,-1,
-1.5004,-1,
-1.4824,-1,
-1.4632,-1,
-1.4429,-1,
-1.4215,-1,
-1.399,-1,
-1.3754,-1,
-1.3507,-1,
-1.3251,-1,
-1.2984,-1,
-1.2707,-1,
-1.242,-1,
-1.2124,-1,
-1.1819,-1,
-1.1506,-1,
-1.1183,-1,
-1.0852,-1,
-1.0513,-1,
-1.0166,-1,
-0.9812,-1,
-0.9451,-1,
-0.9082,-1,
-0.8707,-1,
-0.8326,-1,
-0.7939,-1,
-0.7546,-1,
-0.7148,-1,
-0.6744,-1,
-0.6336,-1,
-0.5924,-1,
-0.5507,-1,
-0.5087,-1,
-0.4664,-1,
-0.4237,-1,
-0.3808,-1,
-0.3376,-1,
-0.2943,-1,
-0.2507,-1,
-0.2071,-1,
-0.1633,-1,
-0.1195,-1,
-0.0756,-1,
-0.0317,-1,
0.0121,1,
0.0559,1,
0.0996,1,
0.1432,1,
0.1866,1,
0.2298,1,
0.2728,1,
0.3155,1,
0.358,1,
0.4001,1,
0.4419,1,
0.4834,1,
0.5244,1,
0.565,1,
0.6051,1,
0.6448,1,
0.684,1,
0.7226,1,
0.7606,1,
0.7981,1,
0.835,1,
0.8712,1,
0.9068,1,
0.9417,1,
0.9759,1,
1.0094,1,
1.0422,1,
1.0742,1,
1.1055,1,
1.1359,1,
1.1656,1,
1.1944,1,
1.2224,1,
1.2495,1,
1.2758,1,
1.3012,1,
1.3257,1,
1.3494,1,
1.3721,1,
1.3939,1,
1.4148,1,
1.4348,1,
1.4538,1,
1.4719,1,
1.4891,1,
1.5053,1,
1.5205,1,
1.5348,1,
1.5482,1,
1.5605,1,
1.572,1,
1.5825,1,
1.592,1,
1.6006,1,
1.6082,1,
1.6149,1,
1.6207,1,
1.6255,1,
1.6294,1,
1.6324,1,
1.6345,1,
1.6357,1,
1.636,1,
1.6354,1,
1.6339,1,
1.6316,1,
1.6285,1,
1.6245,1,
1.6196,1,
1.614,1,
1.6076,1,
